rid,text,food,price,service,ambience,trainer
2607,"Restaurant favorit keluarga saya nih, enak dan harganya reasonable, tempatnya nyaman dan yang paling penting rasanya ajib banget, dah gitu setiap hari selasa sampai jumat ada bonus tambahan di tiap menu tertentu. : D",POSITIVE,POSITIVE,-,POSITIVE,agung
3634,"Tempatnya kecil dan agak tersembunyi. Di depannya adorama. Kanan jalan kalau dr arah Wolter Monginsidi. Karena udah makan cuma makan pisang goreng keju nutella. Enak. Pisangnya renyah cuma nutella nya kurang banyak. Disini makanannya diambil sendiri di meja pemesanan. Teh bisa refill,warm mee menawarkan makanan sehari-hari yg akrab kita buat dan makan tapi males bikin sendiri: indomie telur kornet, mantao nutella, dll. Walaupun tempatnya kecil, tp nyaman dan bersih. Daaan ygpaling juara, toping indomie kayak cabe rawit, sayur, boncabe, sampai KEJU parut bs ambil sepuasanya, gokil! Wifinya juga kenceng bener dan tersedia colokan. Feels like home 😊",POSITIVE,-,POSITIVE,POSITIVE,agung
946,"Tempatnya asik banget, apalagi pas malam. Yg mau cari nuansa beda harus kesini. Untuk makanan favorit saya disini adalah fetuchini. Untuk steaknya juga enak . Kalau harga? Hmm standart lah . Saya sarankan kesini sore menjelang malam, sangat romantis !!",POSITIVE,POSITIVE,-,POSITIVE,agung
3876,"Dari luar keliatannya kecil (tapi parkirannya luas), tapi pas udah masuk, wowww ternyata luas dan nyaman! Cocok banget buat lunch sama keluarga! Makanannya enak-enak semuaaa! Harus banget order Gurame Goreng Raja Rasa, Gurame Bakar Raja Rasa, sama Tahu Goreng Berbumbu!",POSITIVE,-,-,POSITIVE,agung
2971,"Dari makaroni kering,  Makaroni basah,  Otak otak kering,  Sama mie keringnya,  yang bisa dinikmati adalah makaroni kering sama mie keringnya.    Makaroni basah dan otak otaknya terasa sangat alot buat aku.    Rasanya paling enak pedas asin. Ga terlalu pedas.  Kedua keju, adin gurih.  Baru yg balado.  Yang jelas semuanyaaaa mecin bgt rasanya kesukaan anak indonesia. Hahaha. Buat sekali kali mau jajan bandel boleh lah :p",POSITIVE,-,-,POSITIVE,agung
3696,"This restaurant specialize in Indonesian food and they have traditional interior that is very beautiful! I tried their nasi langi , ayam opor , nasi bakmoi , nasi Gudeg and nasi urap. All of them are delicious but they are a little expensive for workers in my opinion.",POSITIVE,NEGATIVE,-,POSITIVE,agung
1128,"Sushi Box - Lotte Mart Kelapa Gading""""  The affordable price is most probably the main reason why people come to pick sushi here. Commonly, people have to come to """"fancy"""" Japanese Restaurants for enjoying good quality and fresh sushi with the consequence of price. Here, people may see different view of sushi restaurant. Sushi Box comes as mini stall with only small number of chairs provided and not that sophisticated design. However, the interesting part is the visitor can see directly how sushi is freshly made by the cook who has double function as waiter/waitress, too. Though the taste is not that """"kicking"""", I somehow still like it. It still has a sour and an umami taste adequately. Besides, it has some number of sushi choices.    www.sonnyworld.wordpress.com",POSITIVE,POSITIVE,-,POSITIVE,agung
3565,"Aku suka sekaliiiiii sama Bakmi Kepiting ini~ Sebagai pencinta mi-mian, gue sangat merekomendasikan masakan ini. Porsinya besar, toppingnya banyak dan fresh. Untuk yang punya sakit maag, hati-hati sama sambalnya ya, karena rasanya asam dan pedas. Tapi justru itu yang bikin rasanya jadi makin unik. Kuahnya juga lumayan enak, ditambah kecap sedikit, dan pangsitnya pun semakin melengkapi semuanya~ Harganya 30k, worth it lah~",POSITIVE,POSITIVE,-,-,agung
1426,"Suasananya cozy dan enak banget buat nongkrong. Makanannya juga enak enak dan harganya juga masuk akal. Desain tempatnya gaul juga, betah deh lama-lama. hihihi",POSITIVE,POSITIVE,-,POSITIVE,agung
1345,"Hallo, hari ini aku pergi ke Kemang Village awalnya cuma niat nyari sabun mandi di watsons karena lapar jadi aku sekalian nyari makan.  W diner ini tempatnya cukup bagus & lucu buat foto2 karena aku sendirian jd aku ngga foto2:(  Aku cuma pesen American Breakfast sama mineral water. Untuk American Breakfastnya enak sih sayangnya bumbu kacang merahnya terlalu strong gitu jadi aku kurang suka. Tapi overall enak  Untuk harga kalo ngga salah 58k yaa standart restoran di kemang sih",POSITIVE,NEGATIVE,-,POSITIVE,agung
1536,"Beatrice ini konsep restonya selalu lucu, instagrammable dan cewe banget. Kalo bawa anak2 ke sini pasti suka deh. Nuansanya pink, banyak gambar2 di dinding yang girly gitu. Areanya ada 2,indoor dan outdoor. Kalau bawa anak mending di dalam supaya adem.   Untuk makanannya sendiri yang paling populer dan must try adalah rice pizza. Jadi pizza dari nasi gitu. Enak banget sih menurut saya. Menunya lebih ke italia2 ya dengan adanya pasta terus bumbu2nya juga banyak cheese.   Selain rice pizza, jagoannya juga ada honey bread. Ini buat dessert juara banget! Porsinya besar, toppingnya aneka rupa dari sesederhana maple syrup sampe yang heboh lengkap dengan ice cream segala.   Terakhir ke sini bawa anak dan dia happy banget sih sama konsep tempatnya dan sama makanannya.",POSITIVE,-,-,POSITIVE,agung
803,"New place to eat gelato, located at PP SCBD.. Originated from Italy..  Kinda popular now n if u come weekend, the queue quiet long but the service is so fast..   The gelato is so soft that i think make it different n more delicious than other gelato that I have ever eaten before..  The one that I dislike is the cup that is so small that my gelato just spill all over n make my hand dirty..  The flavor that i tried pear, tiramisu, pistachio, dark chocolate n hazelnut..  The best flavor based on what i tried is pear 😆😆",POSITIVE,-,POSITIVE,-,agung
540,"Seafood yg selalu ramai dikunjungi pengujung krn seafood nya juara, enak bgt.  Klo ksni lbh baik resevasi dahulu atau di jam2 yg bukan jam makan siang.  Gulai kepala ikannya top bgt enak, recommend.  Gurame terbang juga enak, renyah.  But cumi bakar nya sih menurut gw kurang rasa yah, agak alot juga.  Overall, tetep seafoodnya maknyuss tempatnya juga cozy, adem ayem",POSITIVE,-,-,POSITIVE,agung
3579,"Sumpah ini pempek bikin nagih banget, pempek adaan sama lenjernya enak banget + ebinya (yang kaya bumbu bubuk gitu) bikin gurih kalo udah kecampur kuahnya.. dan satu lagi kudu coba es kacang merahnya itu enak juga.  Btw ampe udah 5 kali gue kesono. (pempek terenak yg pernah masuk tenggorokan gue dah) :D",POSITIVE,-,-,-,agung
3373,Cendol nya rasa standard lah sama aja kayak cendok2 biasa cuma yang enak nya itu duren nya. Duren nya kerasa banget dan banyak pula dengan harga 18 k dapet cendok dengan duren seenak itu worth it banget hehe. Ya buat antrian nya panjaaaaang banget coba deh dibikin ada 2 kasir soalnya kasian jg buat pengunjung yg lain kadang2 suka gabisa lewat krn antrian cendol bar.,POSITIVE,-,POSITIVE,-,agung
745,"Porsi besar..   Nice place..   Agak sepi jd enak tempatnya..   Bisa merokok dimeja mana saja..  Utk harga masih terjangkau, pesan yg set menu kisaran 70-100rb.."" ""My first impression of this place is an authentic japanese place, yes nishimura really gives us the feel of japanese onsen which is great and also luxury for me. I also like the service of this restaurant, and the food is also great. I will definitely comeback",POSITIVE,POSITIVE,POSITIVE,POSITIVE,agung
3545,"Rekomendasi 4 jempol tempat utk meeting, business planning, wedding dan family gathering.  Tempatnya cocok dengan full oksigen banyak pohon rindang",-,-,-,POSITIVE,agung
1265,"Had bukber here with office mates last Ramadhan. We booked 1 large room in arabian style of 'lesehan'. Firstly, surprised by its private and so wide room, we had wide enough of room, private toilet and shower room, and private wide balcony. It satisfied us, the 40 people more came here for bukber.  Oh yes, they placed our foods buffet in balcony.  For main course, we had mandi rice, arabian grilled lamb, arabian roasted chicken. For appetizer, we chose martabak and salad. While for dessert, we had Um ali, pudding, cakes and some slided fruits.  For not a fan of arabian/indian food like me, I just could enjoy mandi rice with roasted chicken, martabak, and the rest of salad. But dont worry, everybody who likes arabian food said all the courses were perfectly delighted delicious. Anyway for my tongue, the Um Ali (the dessert from Goat Milk and pastry) was too too sweet.",POSITIVE,POSITIVE,POSITIVE,POSITIVE,agung
2708,"Penasaran sama kebab satu ini karena penampilannya yang sangat menggugah selera! Lokasinya di plaza festival, tempatnya cuma stall ga terlalu besar, ada seating area tapi cuma sedikit dan kursinya kursi bar gitu. Dari penampilan tempatya sih biasa banget tapi katanya ini dari germany.     Menu disini ada 2 macem, kebab yang pake roti penyajiannya di paper bag dan satu lagi kebab pake french fries jadi ga pake roti dan penyajiannya juga di plate carton. Gw pesen yang kebab pake roti, penanpilan aslinya sesuai banget sama yang di foto2 instagramnya, colourful dan banyak isinya, tapi untuk rasa menurut gw so so aja, ga seindah penampilannya harganya cukup mahal pula 66rb. Wew.",POSITIVE,NEGATIVE,-,POSITIVE,agung
1173,"Baru kemarin sempet ke cimory lg karna cabut sekolah:/ *pdhl h-9 UN* tempat nya cozy as usually+udara sejuk angin angin pucak gitu lah,plus view mountain nya^^,first came here since i was in middle high school. nice place to refresh your breath, fabulous scene, suit for couple or big family. great sausage i always full enough after eat. zuppa soup and american sausage to reccommend (y)    tips : think twice for coming on weekend, based on my experience been trapped in one way and traffic jam.",POSITIVE,-,-,POSITIVE,agung
1326,"Best original handmade udon in town! Sanuki beef udon is my favourite, together with the crispy tempuras, comes to perfection. Highly recommended to try 👍🏻"" ""Tempatny yang nyaman bikin enak buat dijadiin tempat nongkrong.  dari kamu yang pecinta seh di sini neh cobain steakny empuk dan rasa bumbuny yang macem2 bikin kamu ketagihan.  ayo guys cobain ya datang ke sini   enakny seh datang malem hari suasany sejuk.  Klao dari pelayanny jg cepet. dan buat hargany yah worted buat steak sekelas ini.",POSITIVE,POSITIVE,POSITIVE,POSITIVE,agung
175,"Kesini pas malem sabtu, jadi rame banget dan agak pengap ya ruangannya. Tapi terbayar banget! Semua seafoodnya enakk. Pesen kerang ijo, ikan bawal bakar, sama udang bakar. Sayang kepitingnya abis, jadi gak bisa nyobain. Ikan bawalnya agak pait kena banyak arang nempel gitu tapi enak! Semuanya enak deh disini. Pelayanannya jg cepet.",POSITIVE,-,POSITIVE,NEGATIVE,agung
2394,Waiter: Sudrajat   Pelayanannya baik dan cepat. Makanannya enak . Minumannya juga segar dan enak. Para pelayannya ramah dan baik. Suasana talaga sampierun terasa sejuk dan tertata rapi. Pokoknya recomended.,POSITIVE,-,POSITIVE,POSITIVE,agung
493,"Makanan yang dipesan :    1. Bakmi ayam  Not bad, bakmi ayam disini lumayan enak, walau saya kurang suka dengan size bakminya, tapi overall enak    2. Bakso Goreng  ini topnya bakso goreng, besar-besar! Walau untuk rasa masih lebih enakan jaman dulu",POSITIVE,-,-,-,agung
1200,"Green tea ovomaltine nya enak. Kombinasi yang pas antara rasa matcha dan ovomaltine. Paling nikmat dinikmati saat High tea time, apalagi dinikmati dengan ruang smoking yang nyaman",POSITIVE,-,-,POSITIVE,agung
3630,"Salah satu Bakso yg wajib coba di Jakarta sih, menurut saya. Tapi tempatnya sering banget penuh, jadi harus nunggu/take away tp soal rasanya enak bgt",POSITIVE,-,-,NEGATIVE,agung
1270,"Fat Straw is one of my favourite Bubble Tea, if you come here, order the large one. especially if you like to take photos of your drinks. because the uniqueness is in their Fat Plastic Cups. you can also see their top 10 weekly drinks near their cashier. I like the matcha one with honey boba as topping.",POSITIVE,-,-,-,agung
2241,"Aku pesan Zesty Steak yang 9"""" untuk berdua. Porsinya luar biasa besaaar. 9"""" berdua itu buat orang yg cukup kuat makan banyak juga terbilang mengenyangkan. Harga sesuai lah sama porsinya.  Kalau masalah rasa, so so. Sayang, di Zesty Steak ini ada rasa bumbu yg terlalu asam.",POSITIVE,-,-,-,agung
3090,Ordered:    # shrimp and pork siumai  # pork siumai  # shrimp hakau  # imperial hakau (has crab in it)  # chicken feet  # cheong fun (rice sheet roll)  # beef fried rice  # samcan panggang (roasted pork belly)    Overall everything was just okay. The dimsum was just typical Chinese dimsum. The beef fried rice was too oily for me. Something worth mention was their crispy samcan panggang. It was good because they also give andaliman sauce for dipping.,POSITIVE,-,-,-,agung
2910,"Pertama kali makan disini nyobain yang paha, pengen yang daging tapi udah habis. 1 porsi udah cukup ngenyangin. Yang pasti bikin ketagihan dan mau balik lagi.",POSITIVE,-,-,-,agung
813,"Snack taiwan yang sempat booming pada eranya, tapi long lasting buat gw.     Rasanya gurih, dan bisa customize bumbu dan tingkat pedesnya. Paling pas buat ganjel perut selagi nunggu jam nonton di mall.",POSITIVE,-,-,-,agung
3519,"Bacon.. Bacon.. Bacon.. Who doesn't love bacon? I love the Baconerie platter - a classic breakfast platter with crispy & juicy bacon. Their Ham Sandwich -- hearty portion of ham + caramelized onions sandwich with salad on the side- is also good. As for dessert, I got Bacon Cookie, well, for me it was so - so. Maybe if it was warmer / fresh from the oven, it would've taste better. If you like lemonade, do order Sparkling Strawberry Lemonade.  All in all, this place is a must for bacon lovers.",POSITIVE,-,-,-,agung
1378,"One of the best ramen in town versi saya 😁  Ramennya enak dengan kuah yg kental, order hari ini :  miso ramen - enak kuahnya ga sebening miso biasanya tp ttp enak .  Pork Gyoza - enak , perpaduan daging dan sayurnya pas   Saikoro steak - enak daging yg super empuk dan juicy, bumbu meresap sampai kedalam   Pork bun - top abis, melted in mouth 😋  Chicken karage - okelah   Shiromaru ramen - top mnrt taste sy, kuah yg kental, pekat, dengan tingkat masak mie yg bisa disesuaikan, hard / normal/ soft (sy pilih yg normal) chasunya jg lembut n tasty  Tp smua kembali ke selera masing2 antara miso dan shiro ramen 😁  Pelayanan yg cekatan dan ramah  Will surely come back 👍",POSITIVE,-,POSITIVE,-,agung
2072,"Chureria di GI tempatnya kecil, tp ga terlalu ramai.    Churrosnya biasa aja menurut saya, malah saya ga suka, krn tidak sesuai dengan ekspektasi saya yg saya kira wah bgt. Tp chocolate nya saya suka. Enak.    Disini emang tempatnya cozy buat chit chat sm temen, and again, since i don't really like noisy thingy jd emang disini pas buat duduk2 rumpu2 hehe. Tp untuk churros nya saya ga suka.",NEGATIVE,-,-,POSITIVE,agung
3760,"Beda sama apa yg ada di pikiran tentang bart ini sebelumnya, tapi lumayan buat ngobrol bareng temen atau pacar. Tempatnya engga terlalu gede, tapi service nya lumayan.",-,-,POSITIVE,POSITIVE,agung
1585,"I used to come here when i was little. The sushi and the sashimi are normal, the service are okay and the price is normal for sushi & sashimi Japanese restaurant.    Love.",POSITIVE,POSITIVE,POSITIVE,-,agung
1894,Sbnrnya cake dan rotinya ckp enak tp ad kasirnya krg ramah.....mgkin faktor hamil kali ya.....prnh mau bli cake...nanya2 jwbnya jutek smp sy hrs mnta tlg ap ad katalog....bru deh dia ksh msj g pke senyum.....,POSITIVE,-,NEGATIVE,-,agung
3761,"Kemarin ke sini.Rada rame siih,waiting list 3 orang,yang 2 udah masuk giliran yg terakhir ga nongol.Yaudah buat saya aja *rejeki ga kemana*akhirnya saya pesan:    The best fish and chips in town.    Bener2 enak.Ikannya lembuuuuttt bgt,terus crispy,kentangnya jg juara!Saya denger disitu mashed potatonya enak,pas saya coba.....ENAK BANGET.Emang sih porsinya gede,tp saya laper bgt saat itu apalagi makan siang.Yaudah deh hehe    Baked king prawns with ebiko.    Ini sih pesenan mama saya,tp saya cobain aja.First impression:kejunya gak pelit! Tp rada susah juga nyari daging prawn nya soalnya ketutup kejunya,tp over all nasinya enak dan daging prawnnya empuk membal gmn gt hehe    Soup of the day.    Enak sih.Creamy bgt,sukaa.Tapi sayang keluarnya setelah makanan utama dateng,jd kan udah teralihkan oleh king prawns dan fish chips nya hoho akhirnya ditake away deh hehe.",POSITIVE,-,-,-,agung
2666,"Pas lewat ada melihat menu croissant salted egg, namun tidak sempat mencoba, akhirnya beberapa waktu kemudian seorang teman memberikan croissant ini, rasanya enak dan telur asinnya melted...    Sekarang varian croisantnya sudah lebih banyak Strawberry Cheese Croisantnya juga not bad, dan jk ingin merasakan citarasa kue jadul boleh mencoba Oma's Mocca Cake. Namun sayangnya saat ke sini walau hanya pesan croisant dan cake perlu menunggu hinga 30-40 menit...",POSITIVE,-,NEGATIVE,-,agung
1524,A bit pricey for overall the menus here.. And the taste are so-so.. Still prefer another place to enjoy my dimsum with reasonable price :) keep it up please,NEGATIVE,NEGATIVE,-,-,agung
1471,Was here last week and had a good dinner with aglio olio and wagyu steak. Everythings good and a nice ambience in this place. Soon i'll be back again :),POSITIVE,-,-,POSITIVE,agung
2002,Ya dong dimsum merupakan salah satu tenant yang ada di Ruci's Joint. Tempatnya semacam food court dengan beberapa tenant.      Tempatnya sendiri cozy dan lumayan cukup spacious. Ke sini bersama teman-teman foodie. Kami memesan 2 macam dimsum di sini. Rata-rata harga dimsumnyanya adalah 35k.     Bakpau telur asin   Teksturnya seperti roti yang digoreng. Salted eggnya menurut aku kurang begitu ngalir. Rasanya sih not bad tapi ga special juga.     Chi Choeng Fan   Dimsum ini mirip seperti lumpia. Rasanya mirip dengan martabak telur dan sambal cocolannya juga enak.,POSITIVE,-,-,POSITIVE,agung
1980,"Always come there for Company Dinner. My boss always brings me and other staffs here when there is a celebration such as break fasting, farewell, etc. Middle price with a good service and quality :)",-,POSITIVE,POSITIVE,-,agung
1999,"Been here with my wife family. It was cap go and usually my mother-in-law only eat vegetarian food on that day. My oldest sister-in-law also a full vegetarian so this place is a good choice.  We have a Sup Tom Yam, Hotplate Jamur, Mantou Chili Crab, Ayam Cabe Rawit, and Buncis Saus Jamur. All the food is delicious. For someone who like meat very much, I really enjoy the food. The sauce of chili crab is the star. I can not tell more, the point is all the food are very good. I will sure try another menu next time.  The only minus point is I have to cancel Golden Enoki menu because they didn't served it untill we finished our dish, too bad.",POSITIVE,-,NEGATIVE,-,agung
3024,"This time I come with one of my besties birthday invitation. Located strategically in the heart of Jakarta with nice interior design and decoration. The place itself made customer fell warm and cozy.    We ordered Sinchos, it's Singkong Nachos, for appetizer, White Truffle Pizza for sharing, and for mains I have Capellini Black Pepper. Also a cup of Butter Scotch Cafe Latte for refreshmet.    Sinchos taste very light and crispy, with its melted cheese and sweet-spicy Thai sauce. Very delicious. The pizza also very crispy and thin, suitable for side dish before main course. Very tasty with its truffle toppings.  For main course, capellini, but it looks like angel hair, taste good but nothing special about it. Best of the best this time is goes to Butter Scotch Cafe Latte. To whom like bitterness sweet it was perfect drink. I got sweet and tasty from butter scotch flavour and a little bitter from the coffee.    Nice place for eat, hang out, and etc.,serve Italian and Asian food with funny name. love the pan roasted sea bass fillet. place is nice and easy listening music. don't forget to try their dessert.",POSITIVE,-,-,POSITIVE,agung
3077,"It's been a while I haven't had Bobabits. Bobabits are the first bubble tea pioneer in PIK area and used to be my favorite. I loved their Rose Milk Tea back then. Yesterday, I ordered Rose Milk Tea also. But it was not as delicious as it used to be. It was bland. I am a bit disappointed. I miss the old Bobabits. Why did they have to move? The old place was better and more crowded. The new place was uncrowded. Too bad.",NEGATIVE,-,-,-,agung
2839,Selalu rame kalo makan disini. Tapi diganti lunas sama rasa makanan yang enak. La miannya sm es saljunya juara banget.. untuk dimsum sih standard sih ga begitu spesial bgt buat gw.,POSITIVE,-,-,NEGATIVE,agung
153,"Makanannya enakkkk... Bihun goreng sapi, kwetiau goreng polos, ayam goreng, babi panggang, tahu special dll.. dan ada juga steamboatnya yang bisa kita pilih kuahnya..  Untuk harga relatif terjangkau.."" ""Sering liat kopi tan kalau lg lewatin scbd,atau kalau lg ke beer garden,tp memang baru kali ini cobain kesini,untuk posisinya pasti keliatan bgt dr jalanan dia tepat disebelah beergarden scbd atau lot 8 buat sekelas kopitiam saya paling suka bgt sama jenis kopi nya saya pesan kopi hitam susu buat nama menunya jadul bgt pesan kopi susu khas nya kopi tan dan teh tarik dan jg loempia udang untuk makanannya saya pesan kwetiauw siram. untuk semua makan dan minuman recommended bgt apalg yg saya pesan buat tempat,tempatnya cozy bgt dan sepi asik buat ngobrol sama teman dan jg disediakan mainan sprti catur congklak dll.. overall suka bgt buat nongkrong di kopitan ini",POSITIVE,-,-,POSITIVE,agung
1230,"First time went here. So shocked to see tempatnya kecil banget cuma ada like 10 seats. Yang bagus cuma buat foto2 itupun rame harus nunggu. Pesen almond chocolate 50k, coconut breeze 50k, mango sunshine 50k. Rasanya okay2 aja nothing special sih. Aku paling suka coconut breeze, but my friends like the almond chocolate one.",POSITIVE,-,-,NEGATIVE,agung
1997,"Gue waktu itu pesen pizza aja satu dan minum (soalnya sendirian).  hmmmmmm  ENAK  ENAK  ENAK  Pelayanannya ramah, tempatnya cozy, ah.. betah berlama2 di sini.   Harga: WORTH IT,yeay! finally today I got the chance to try this restaurant. Udah setahun ngantor di SCBD selalu penasaran kok rame terus. waiternya ramah ramah, tempatnya sangat nyaman. Abis mesen langsung dikasih bread basket yang isinya aja sebenernya udah bikin kenyaaaang plus butter dan 2 sauce yang nggak tau juga sauce apa karena smell so sour dan kayanya gw ga bakal suka. Untuk main course gw pilih Spaghetti King Prawn yang adalah spaghetti dengan campuran olive oil, chili dan king prawn. Tekstur dan kekenyalan spaghettinya passsssss banget! enak! cuma karena gw orangnya emang suka asin, jadi ini kurang asin rasanya. trus yang ijo ijo itu adalah Kiwi Ale. Minuman kiwi campur soda yang seger tapi aseeemm banget. trus gw juga mesen equil dingin dan kena 300ribuan kurang untuk semuanya. Penasaran coba pasta nya yang lain sama premium pizza nya. next time deh.",POSITIVE,POSITIVE,POSITIVE,POSITIVE,agung
2436,"Shao kao ini utamanya jualan skewers / aneka macam sate2an.. Mulai dari sate aneka daging, sayur (jamur, jagung), juga ada sosis2an gitu. Harganya standar sih.. Rasa bumbu sate nya lumayan.  Slain sate2an ada beberapa menu makanan lainnya, harganya so so laa..  Beer disini termurah se kelapa gading! 🍺  Untuk tempatnya biasa saja tapi nyaman buat ajak keluarga juga 😁",POSITIVE,POSITIVE,-,POSITIVE,agung
778,Siang siang gabut dan bm banget mau ramen nyoba disini . Untuk rasa di ya lumayan .pelayannya juga ramah dan cepat .. cuma mungkin karna emang tmn gue lagi sakit jadi ramen dy ga abis yasudahlah untuk tempat ya lumayan ..,POSITIVE,-,POSITIVE,-,agung
2754,"Because we need rice before we eat Martabak :'D    Ambience : 3/5 (bangku & meja kayu-nya banyak yang tidak simetris. miring semua)  Taste : 3.5/5  Price : 4/5    Es teh manis katanya tapi rasanya tawar. Sayur asemnya so-so banget. Ikan bakarnya lumayan enak. Nasinya keras dan tidak pulen. Untung harganya murah, kalo ngga pasti protes berat. haha",POSITIVE,POSITIVE,POSITIVE,POSITIVE,agung
